Region/Country/Area,,Year,Series,Value,Footnotes,Source,,,,
32,Argentina,2008,Gross domestic expenditure on R & D: Funds from abroad (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: Business enterprises (%),19.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: Government (%),74.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: Higher education (%),2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
32,Argentina,2018,Gross domestic expenditure on R & D: Business enterprises (%),20.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
