Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
202,Sub-Saharan Africa,2020,Balance imports/exports (millions of US dollars),,,-862,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,17980,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,31243,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,62688,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,94477,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2018,Imports CIF (millions of US dollars),,,95373,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2019,Imports CIF (millions of US dollars),,,91576,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,,84312,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,9499,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,16297,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,31652,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,40742,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2018,Exports FOB (millions of US dollars),,,43360,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2019,Exports FOB (millions of US dollars),,,41335,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,,42928,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,-8481,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,-14945,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,-31036,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
