Region/Country/Area,,Year,Series,Value,Footnotes,Source
659,Saint Kitts and Nevis,2018,Forest cover (thousand hectares),11,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Arable land (% of total land area),19.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Permanent crops (% of total land area),0.4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Forest cover (% of total land area),42.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),56.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
659,Saint Kitts and Nevis,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),56.82,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
662,Saint Lucia,2005,Land area (thousand hectares),61,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Permanent crops (thousand hectares),8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Forest cover (thousand hectares),21,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Arable land (% of total land area),3.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Permanent crops (% of total land area),12.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Forest cover (% of total land area),34.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.57,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
662,Saint Lucia,2010,Land area (thousand hectares),61,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Arable land (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Permanent crops (thousand hectares),7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Forest cover (thousand hectares),21,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Arable land (% of total land area),4.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Permanent crops (% of total land area),11.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Forest cover (% of total land area),34,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
662,Saint Lucia,2018,Land area (thousand hectares),61,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Arable land (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Permanent crops (thousand hectares),7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Forest cover (thousand hectares),21,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Arable land (% of total land area),4.9,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Permanent crops (% of total land area),11.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Forest cover (% of total land area),34,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
662,Saint Lucia,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
662,Saint Lucia,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
663,Saint Martin (French part),2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.21,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
663,Saint Martin (French part),2010,Important sites for terrestrial biodiversity protected (% of total sites protected),59.34,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
663,Saint Martin (French part),2018,Land area (thousand hectares),5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
663,Saint Martin (French part),2018,Forest cover (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
663,Saint Martin (French part),2018,Forest cover (% of total land area),4.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
663,Saint Martin (French part),2018,Important sites for terrestrial biodiversity protected (% of total sites protected),59.39,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
663,Saint Martin (French part),2020,Important sites for terrestrial biodiversity protected (% of total sites protected),59.39,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
666,Saint Pierre and Miquelon,2005,Land area (thousand hectares),23,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2005,Arable land (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2005,Forest cover (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2005,Arable land (% of total land area),13,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2005,Forest cover (% of total land area),6.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.8,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
666,Saint Pierre and Miquelon,2010,Land area (thousand hectares),23,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2010,Arable land (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2010,Forest cover (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2010,Arable land (% of total land area),13,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2010,Forest cover (% of total land area),6.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.8,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
666,Saint Pierre and Miquelon,2018,Land area (thousand hectares),23,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2018,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2018,Forest cover (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2018,Arable land (% of total land area),8.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2018,Forest cover (% of total land area),5.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
666,Saint Pierre and Miquelon,2018,Important sites for terrestrial biodiversity protected (% of total sites protected),1.64,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
666,Saint Pierre and Miquelon,2020,Important sites for terrestrial biodiversity protected (% of total sites protected),1.64,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
670,Saint Vincent & Grenadines,2005,Land area (thousand hectares),39,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Permanent crops (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Forest cover (thousand hectares),29,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Arable land (% of total land area),5.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Permanent crops (% of total land area),7.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Forest cover (% of total land area),73.2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),45.64,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
670,Saint Vincent & Grenadines,2010,Land area (thousand hectares),39,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Arable land (thousand hectares),2,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Permanent crops (thousand hectares),3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Forest cover (thousand hectares),29,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Arable land (% of total land area),5.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Permanent crops (% of total land area),7.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
670,Saint Vincent & Grenadines,2010,Forest cover (% of total land area),73.2,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
