Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2016,Emissions per capita (metric tons of carbon dioxide),4.1,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2017,Emissions per capita (metric tons of carbon dioxide),3.9,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
32,Argentina,2018,Emissions per capita (metric tons of carbon dioxide),3.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),4130,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),4048,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),5101,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2016,Emissions (thousand metric tons of carbon dioxide),4912,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2017,Emissions (thousand metric tons of carbon dioxide),5166,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2018,Emissions (thousand metric tons of carbon dioxide),5395,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2015,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2016,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2017,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
51,Armenia,2018,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),179467,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),220128,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),365515,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2020 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed July 2021."
