Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
12,Algeria,2015,Exchange rates: period average (national currency per US dollar),,,100.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2017,Exchange rates: period average (national currency per US dollar),,,111,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2018,Exchange rates: period average (national currency per US dollar),,,116.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2019,Exchange rates: period average (national currency per US dollar),,,119.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2020,Exchange rates: period average (national currency per US dollar),,,126.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2005,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2010,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2015,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2017,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2018,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2019,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
20,Andorra,2020,Exchange rates: end of period (national currency per US dollar),Euro (EUR),,0.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
